,C-index,CI_low,CI_high
Stage-only Cox,0.6776,0.5681057617442817,0.7870942382557182
RSF,0.5414,0.4246698073538812,0.6581301926461187
GBS,0.4767,0.359694845426366,0.593705154573634
XGBoost-Cox,0.5378,0.4210028028555479,0.654597197144452
DeepSurv,0.6261,0.5127538858398754,0.7394461141601246
Linear Stacking,0.5101,0.39299149607650175,0.6272085039234983
SAGAM,0.5959,0.48094227269469875,0.7108577273053012
