Model,Mean_C,Std_C,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
Expression-only,0.6549114160133882,0.020122677274580867,0.6656976744186046,0.6510989010989011,0.6551904016692749,0.6207289293849658,0.6818411734951947
Clinical-only,0.6197391745811991,0.04474176721133973,0.7078488372093024,0.5857142857142857,0.593114241001565,0.6070615034168565,0.6049570055639858
Multi-Modal,0.6700465015659945,0.02251429576371455,0.6996124031007752,0.6346153846153846,0.6776212832550861,0.6560364464692483,0.682346990389479
